Wavelength [nm]	Wavenumbers [1/cm]	cis_azobenzene_epsilons
359.000	27855.15	76.34
359.100	27847.40	78.91
359.200	27839.64	77.39
359.300	27831.90	77.41
359.400	27824.15	76.95
359.500	27816.41	78.01
359.600	27808.68	76.25
359.700	27800.95	78.58
359.800	27793.22	76.72
359.900	27785.50	66.7
360.000	27777.78	66.94
360.100	27770.06	66.79
360.200	27762.35	67.67
360.300	27754.65	68.12
360.400	27746.95	68.56
360.500	27739.25	69.24
360.600	27731.56	69.58
360.700	27723.87	69.54
360.800	27716.19	69.96
360.900	27708.51	70.32
361.000	27700.83	70.57
361.100	27693.16	70.41
361.200	27685.49	70.84
361.300	27677.83	71.52
361.400	27670.17	71.95
361.500	27662.52	72.06
361.600	27654.87	72.85
361.700	27647.22	72.76
361.800	27639.58	72.92
361.900	27631.94	73.31
362.000	27624.31	74.29
362.100	27616.68	74.27
