Wavelength_nm	Absorbance__2107362U1_0001A	Concentration_M__2107362U1_0001A	Path_length_cm__2107362U1_0001A	Epsilon_M-1_cm-1__2107362U1_0001A	Absorbance__2107362U1_0001B	Concentration_M__2107362U1_0001B	Path_length_cm__2107362U1_0001B	Epsilon_M-1_cm-1__2107362U1_0001B	Absorbance__2107362U1_0001C	Concentration_M__2107362U1_0001C	Path_length_cm__2107362U1_0001C	Epsilon_M-1_cm-1__2107362U1_0001C	Epsilon_mean_M-1_cm-1	Epsilon_SD_M-1_cm-1	Epsilon_SEM_M-1_cm-1	Epsilon_lower_nonnegative_M-1_cm-1	Epsilon_upper_nonnegative_M-1_cm-1
2.94336060e+02	2.48091052e-01	6.82000000e-05	1	3.63769871e+03	2.49493552e-01	6.87000000e-05	1	3.63163832e+03	2.54300114e-01	6.80000000e-05	1	3.73970756e+03	3.66968153e+03	6.07199770e+01	3.50566951e+01	3.60896155e+03	3.73040150e+03
2.94934448e+02	2.44253461e-01	6.82000000e-05	1	3.58142905e+03	2.45586859e-01	6.87000000e-05	1	3.57477232e+03	2.50263473e-01	6.80000000e-05	1	3.68034519e+03	3.61218219e+03	5.91246509e+01	3.41356331e+01	3.55305754e+03	3.67130684e+03
2.95532776e+02	2.39427060e-01	6.82000000e-05	1	3.51066071e+03	2.40836863e-01	6.87000000e-05	1	3.50563120e+03	2.45322125e-01	6.80000000e-05	1	3.60767830e+03	3.54132340e+03	5.75200282e+01	3.32092037e+01	3.48380338e+03	3.59884343e+03
2.96131073e+02	2.33544831e-01	6.82000000e-05	1	3.42441102e+03	2.34977040e-01	6.87000000e-05	1	3.42033537e+03	2.39371128e-01	6.80000000e-05	1	3.52016365e+03	3.45497001e+03	5.64961121e+01	3.26180455e+01	3.39847390e+03	3.51146612e+03
2.96729370e+02	2.26985584e-01	6.82000000e-05	1	3.32823437e+03	2.28430927e-01	6.87000000e-05	1	3.32504988e+03	2.32859213e-01	6.80000000e-05	1	3.42440019e+03	3.35922814e+03	5.64630996e+01	3.25989858e+01	3.30276504e+03	3.41569124e+03
2.97327606e+02	2.19715666e-01	6.82000000e-05	1	3.22163734e+03	2.21054448e-01	6.87000000e-05	1	3.21767756e+03	2.25333149e-01	6.80000000e-05	1	3.31372278e+03	3.25101256e+03	5.43447209e+01	3.13759392e+01	3.19666784e+03	3.30535728e+03
2.97925842e+02	2.12248253e-01	6.82000000e-05	1	3.11214447e+03	2.13249320e-01	6.87000000e-05	1	3.10406579e+03	2.17587757e-01	6.80000000e-05	1	3.19981996e+03	3.13867674e+03	5.31054269e+01	3.06604325e+01	3.08557132e+03	3.19178217e+03
2.98524048e+02	2.04609188e-01	6.82000000e-05	1	3.00013472e+03	2.05229700e-01	6.87000000e-05	1	2.98733188e+03	2.09677552e-01	6.80000000e-05	1	3.08349341e+03	3.02365334e+03	5.22168963e+01	3.01474391e+01	2.97143644e+03	3.07587023e+03
2.99122223e+02	1.96930460e-01	6.82000000e-05	1	2.88754340e+03	1.97330255e-01	6.87000000e-05	1	2.87234723e+03	2.01752378e-01	6.80000000e-05	1	2.96694673e+03	2.90894579e+03	5.08017046e+01	2.93303778e+01	2.85814408e+03	2.95974749e+03
2.99720367e+02	1.89574866e-01	6.82000000e-05	1	2.77969011e+03	1.89939980e-01	6.87000000e-05	1	2.76477409e+03	1.94294088e-01	6.80000000e-05	1	2.85726600e+03	2.80057673e+03	4.96575928e+01	2.86698246e+01	2.75091914e+03	2.85023433e+03
3.00318481e+02	1.82798778e-01	6.82000000e-05	1	2.68033398e+03	1.83201071e-01	6.87000000e-05	1	2.66668226e+03	1.87356157e-01	6.80000000e-05	1	2.75523761e+03	2.70075128e+03	4.76776890e+01	2.75267266e+01	2.65307359e+03	2.74842897e+03
3.00916595e+02	1.76790934e-01	6.82000000e-05	1	2.59224243e+03	1.77214003e-01	6.87000000e-05	1	2.57953425e+03	1.81147504e-01	6.80000000e-05	1	2.66393389e+03	2.61190352e+03	4.55054242e+01	2.62725689e+01	2.56639810e+03	2.65740895e+03
3.01514648e+02	1.71487714e-01	6.82000000e-05	1	2.51448262e+03	1.71893650e-01	6.87000000e-05	1	2.50209097e+03	1.75740263e-01	6.80000000e-05	1	2.58441564e+03	2.53366308e+03	4.43875561e+01	2.56271675e+01	2.48927552e+03	2.57805063e+03
3.02112701e+02	1.66975776e-01	6.82000000e-05	1	2.44832517e+03	1.67383653e-01	6.87000000e-05	1	2.43644328e+03	1.71190007e-01	6.80000000e-05	1	2.51750010e+03	2.46742285e+03	4.37732027e+01	2.52724704e+01	2.42364965e+03	2.51119605e+03
