Wavelength [nm]	Wavenumbers [1/cm]	from clipboard (1)
545.602	18328.38	11.07
546.179	18309.02	2.863
546.756	18289.71	-2.463
547.332	18270.44	-6.762
547.909	18251.21	-10.12
548.486	18232.02	-4.58
549.062	18212.87	11.52
549.639	18193.76	11.3
550.216	18174.69	2.101
550.792	18155.66	9.417
551.369	18136.67	-1.424
551.946	18117.72	-0.3725
552.523	18098.81	7.85
553.099	18079.94	13.65
553.676	18061.10	18.64
554.253	18042.31	19.02
554.829	18023.56	10.29
555.406	18004.84	5.728
555.983	17986.17	8.42
556.560	17967.53	7.122
557.136	17948.93	5.124
557.713	17930.37	1.509
558.290	17911.85	4.129
558.866	17893.36	13.24
559.443	17874.92	15.68
560.020	17856.51	4.487
560.597	17838.14	-1.282
561.173	17819.81	-3.372
561.750	17801.52	-9.745
562.327	17783.26	-10.05
562.903	17765.04	-5.766
563.480	17746.86	4.397
564.057	17728.71	4.949
564.633	17710.60	3.614
565.210	17692.53	-7.041
565.787	17674.50	-8.601
566.364	17656.50	-5.003
566.940	17638.54	2.975
567.517	17620.62	-7.378
568.094	17602.73	-8.455
568.670	17584.88	-10.76
569.247	17567.06	-18.37
569.824	17549.28	-8.643
570.401	17531.54	-5.578
570.977	17513.83	-2.91
571.554	17496.16	-5.003
572.131	17478.52	-7.624
572.707	17460.92	-8.857
573.284	17443.36	-5.207
573.861	17425.83	-4.444
574.438	17408.33	-1.745
575.014	17390.87	-9.016
575.591	17373.45	-9.028
576.168	17356.06	-4.104
576.744	17338.70	-2.539
577.321	17321.38	0.2343
577.898	17304.10	3.527
578.474	17286.85	-3.062
579.051	17269.63	-2.523
579.628	17252.45	-4.978
580.205	17235.30	-2.261
580.781	17218.18	-1.274
581.358	17201.10	0.9039
581.935	17184.06	2.715
582.511	17167.04	-0.09944
583.088	17150.07	-1.993
583.665	17133.12	-2.982
584.242	17116.21	-1.168
584.818	17099.33	4.023
585.395	17082.48	8.413
585.972	17065.67	12.02
586.548	17048.89	11.18
587.125	17032.14	2.436
587.702	17015.43	-3.144
588.279	16998.75	-3.79
588.855	16982.10	-2.367
589.432	16965.49	-0.5821
590.009	16948.90	2.215
590.585	16932.35	3.091
591.162	16915.83	-4.116
591.739	16899.35	-1.605
