Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
565.210	17692.54	6.478
565.787	17674.50	17.87
566.363	17656.51	22.48
566.940	17638.54	24.08
567.517	17620.62	31.08
568.094	17602.73	36.47
568.670	17584.88	34.18
569.247	17567.07	39.08
569.824	17549.29	37.58
570.400	17531.54	23.38
570.977	17513.84	32.18
571.554	17496.16	43.37
572.131	17478.53	35.28
572.707	17460.93	37.96
573.284	17443.36	9.778
573.861	17425.83	9.178
574.437	17408.34	19.78
575.014	17390.88	20.67
575.591	17373.45	4.282
576.168	17356.06	1.688
576.744	17338.71	13.78
577.321	17321.39	25.88
577.898	17304.10	20.78
578.474	17286.85	17.87
579.051	17269.63	7.279
579.628	17252.45	19.07
580.204	17235.30	33.68
580.781	17218.19	31.98
581.358	17201.11	28.98
581.935	17184.06	25.76
582.511	17167.05	10.28
583.088	17150.07	7.878
583.665	17133.12	20.37
584.241	17116.21	15.97
584.818	17099.33	0.3747
585.395	17082.49	-9.121
585.972	17065.67	-9.398
586.548	17048.89	15.78
587.125	17032.15	26.68
587.702	17015.43	7.387
588.278	16998.75	3.475
588.855	16982.11	-0.1244
589.432	16965.49	-8.02
590.009	16948.91	-3.717
590.585	16932.36	2.367
591.162	16915.84	-20.82
591.739	16899.35	-6.231
592.315	16882.90	3.274
592.892	16866.48	-1.021
593.469	16850.09	8.474
594.045	16833.73	15.97
594.622	16817.40	2.376
595.199	16801.11	-1.022
595.776	16784.84	1.875
596.352	16768.61	-0.5196
596.929	16752.41	5.077
597.506	16736.24	3.278
598.082	16720.10	-6.021
598.659	16704.00	-3.422
599.236	16687.92	0.1764
599.813	16671.87	-3.243
600.389	16655.86	-23.62
600.966	16639.88	-11.12
601.543	16623.92	-9.923
602.119	16608.00	6.684
602.696	16592.11	16.07
603.273	16576.25	-4.617
603.850	16560.42	-18.4
604.426	16544.62	5.381
605.003	16528.84	14.68
605.580	16513.10	5.083
606.156	16497.39	-10.61
606.733	16481.71	12.78
607.310	16466.06	22.47
607.887	16450.44	29.26
608.463	16434.85	5.179
609.040	16419.28	8.777
609.617	16403.75	20.27
610.193	16388.25	6.278
610.770	16372.77	7.176
611.347	16357.33	-5.717
611.923	16341.91	-10.92
612.500	16326.53	-6.123
613.077	16311.17	-5.823
613.654	16295.84	5.251
614.230	16280.54	-20.51
614.807	16265.27	8.677
615.384	16250.02	-2.317
615.960	16234.81	-9.619
616.537	16219.62	-4.121
617.114	16204.47	2.176
617.691	16189.34	1.779
618.267	16174.24	3.972
618.844	16159.16	-8.222
619.421	16144.12	0.1725
619.997	16129.10	6.655
620.574	16114.11	-27.02
621.151	16099.15	13.96
621.728	16084.22	17.37
622.304	16069.31	9.679
622.881	16054.43	15.48
623.458	16039.58	-9.407
624.034	16024.76	9.677
624.611	16009.96	9.278
625.188	15995.19	21.87
625.764	15980.45	15.09
626.341	15965.74	24.87
626.918	15951.05	-9.416
627.495	15936.39	9.264
628.071	15921.76	-0.6173
628.648	15907.15	9.677
629.225	15892.57	-4.916
629.801	15878.02	-13.11
630.378	15863.49	3.476
630.955	15848.99	-0.9216
631.532	15834.52	-2.106
632.108	15820.07	15.68
632.685	15805.65	14.38
633.262	15791.26	15.78
633.838	15776.89	0.7774
634.415	15762.55	0.9806
634.992	15748.23	20.17
635.569	15733.94	26.98
636.145	15719.68	24.67
636.722	15705.44	17.58
637.299	15691.23	4.585
637.875	15677.04	27.16
638.452	15662.88	4.776
639.029	15648.75	-4.519
639.605	15634.64	37.97
640.182	15620.55	26.17
640.759	15606.49	16.18
641.336	15592.46	15.58
641.912	15578.45	7.887
642.489	15564.47	25.98
643.066	15550.51	8.985
643.642	15536.58	17.57
644.219	15522.67	7.675
644.796	15508.78	-0.4208
645.373	15494.93	0.3766
645.949	15481.09	14.98
646.526	15467.28	21.58
647.103	15453.50	14.28
647.679	15439.74	8.578
648.256	15426.00	9.776
648.833	15412.29	3.779
649.410	15398.60	-16.41
649.986	15384.94	-0.7177
650.563	15371.30	11.58
651.140	15357.69	-12.11
651.716	15344.10	0.6801
652.293	15330.53	5.176
652.870	15316.99	-7.718
653.446	15303.47	-11.61
654.023	15289.98	1.082
654.600	15276.51	14.77
655.177	15263.06	14.68
655.753	15249.64	0.2712
656.330	15236.24	-10.42
656.907	15222.86	-0.1274
657.483	15209.51	-7.607
658.060	15196.18	13.17
658.637	15182.87	-1.519
659.214	15169.59	-0.2237
659.790	15156.33	2.176
660.367	15143.09	-0.8227
660.944	15129.88	2.076
661.520	15116.69	-5.021
662.097	15103.52	-2.624
662.674	15090.38	-8.521
663.251	15077.26	-14.33
663.827	15064.16	-22.91
664.404	15051.08	-1.425
664.981	15038.03	14.57
665.557	15025.00	-2.618
666.134	15011.99	4.477
666.711	14999.01	3.178
667.287	14986.04	5.179
667.864	14973.10	6.671
668.441	14960.19	-9.92
669.018	14947.29	-0.5289
669.594	14934.42	-2.321
670.171	14921.56	1.477
670.748	14908.73	2.177
671.324	14895.93	-14.72
671.901	14883.14	-17.12
672.478	14870.38	-19.12
673.055	14857.64	-11.93
673.631	14844.92	-1.822
674.208	14832.22	-1.223
674.785	14819.54	-6.92
675.361	14806.89	-0.4228
675.938	14794.25	-0.4235
676.515	14781.64	-3.622
677.092	14769.05	7.369
677.668	14756.48	-1.723
678.245	14743.94	-1.423
678.822	14731.41	1.276
679.398	14718.90	-10.12
679.975	14706.42	-1.422
680.552	14693.96	1.176
681.129	14681.52	-6.51
681.705	14669.10	7.575
682.282	14656.70	0.9781
682.859	14644.32	4.475
683.435	14631.96	-6.331
684.012	14619.63	-21.12
684.589	14607.31	-23.02
685.165	14595.01	1.973
685.742	14582.74	-3.225
686.319	14570.49	-10.32
686.896	14558.25	-10.72
687.472	14546.04	-10.42
688.049	14533.85	-5.123
688.626	14521.68	-1.724
689.202	14509.53	-1.821
689.779	14497.39	-0.02461
690.356	14485.28	-7.921
690.933	14473.19	1.87
691.509	14461.12	5.975
692.086	14449.07	0.4775
692.663	14437.04	-12.32
693.239	14425.03	-20.32
693.816	14413.04	-17.02
694.393	14401.07	-16.42
694.970	14389.12	1.67
695.546	14377.19	-5.925
696.123	14365.28	-11.82
696.700	14353.39	-18.82
697.276	14341.52	-14.12
697.853	14329.66	-2.623
698.430	14317.83	-1.123
699.006	14306.02	-0.732
699.583	14294.23	-12.03
700.160	14282.45	-22.32
700.737	14270.70	-30.92
701.313	14258.96	-33.31
701.890	14247.25	-7.323
702.467	14235.55	-15.22
703.043	14223.87	-19.12
703.620	14212.21	-10.82
704.197	14200.57	-6.524
704.774	14188.95	-5.424
705.350	14177.35	-11.62
705.927	14165.77	1.177
706.504	14154.21	-16.11
707.080	14142.66	-19.31
707.657	14131.14	-7.324
708.234	14119.63	-12.82
708.811	14108.14	-6.228
709.387	14096.67	-10.22
709.964	14085.22	-4.223
710.541	14073.79	-14.52
711.117	14062.38	-13.72
711.694	14050.98	-11.52
712.271	14039.60	-6.325
712.847	14028.25	-0.9042
