Wavelength [nm]	Wavenumbers [1/cm]	Intensity
529.925	18870.60	35.39
530.498	18850.22	43
531.071	18829.88	32.35
531.644	18809.58	10.37
532.217	18789.33	11.48
532.790	18769.12	20.12
533.363	18748.95	31.48
533.936	18728.83	31.52
534.509	18708.75	19.63
535.082	18688.71	26.59
535.655	18668.72	19.66
536.229	18648.76	20.46
536.802	18628.85	38.37
537.375	18608.99	41.24
537.948	18589.16	25.36
538.521	18569.38	15.55
539.094	18549.64	25.03
539.667	18529.94	32.06
540.240	18510.29	30.06
540.813	18490.67	26.02
541.386	18471.10	41.95
541.959	18451.57	15.87
542.532	18432.08	26.39
543.105	18412.63	33.81
543.679	18393.22	38.91
544.252	18373.85	28.29
544.825	18354.53	37.7
545.398	18335.24	50.43
545.971	18316.00	21.58
546.544	18296.79	2.872
547.117	18277.63	18.06
547.690	18258.50	52.02
548.263	18239.42	43.68
548.836	18220.37	41.76
549.409	18201.37	20.61
549.982	18182.40	14.56
550.555	18163.47	25.81
551.129	18144.59	15.42
551.702	18125.74	25.56
552.275	18106.93	5.921
552.848	18088.16	6.491
553.421	18069.43	26.11
553.994	18050.74	23.9
554.567	18032.09	19.59
555.140	18013.47	20.96
555.713	17994.90	23.33
556.286	17976.36	14.55
556.859	17957.86	5.587
557.432	17939.40	37.84
558.005	17920.97	22.17
558.579	17902.59	19.89
559.152	17884.24	17.85
559.725	17865.93	3.85
560.298	17847.65	3.698
560.871	17829.42	3.937
561.444	17811.22	7.31
562.017	17793.06	16.36
562.590	17774.93	15.3
563.163	17756.84	-3.019
563.736	17738.79	15.47
564.309	17720.78	17.2
564.882	17702.80	3.699
565.455	17684.86	14.04
566.029	17666.95	14.79
566.602	17649.09	8.167
567.175	17631.25	1.339
567.748	17613.46	1.986
568.321	17595.70	-3.62
568.894	17577.97	2.977
569.467	17560.28	5.161
570.040	17542.63	16.25
570.613	17525.01	20.57
571.186	17507.43	14.26
571.759	17489.88	8.645
