Wavelength [nm],Intensity,
734.513,221.12864,
735.086,227.83979,
735.659,209.46086,
736.232,216.5509,
736.805,212.96447,
737.378,211.76016,
737.951,202.64854,
738.524,218.28349,
739.097,224.66022,
739.670,212.14318,
740.244,189.16529,
740.817,195.0068,
741.390,200.96911,
741.963,193.00792,
742.536,205.4456,
743.109,230.65411,
743.682,210.56385,
744.255,235.36951,
744.828,221.77346,
745.401,213.97469,
745.974,214.15198,
746.547,221.52257,
747.120,210.3097,
747.693,235.55556,
748.267,208.9757,
748.840,202.15792,
749.413,221.25592,
749.986,236.50363,
750.559,212.26855,
751.132,227.37747,
751.705,228.97909,
752.278,221.91359,
752.851,201.67805,
753.424,191.75857,
753.997,217.86866,
754.570,222.60436,
755.143,217.4649,
755.717,208.78392,
756.290,222.84435,
756.863,190.69554,
757.436,196.21499,
758.009,201.60068,
758.582,219.39298,
759.155,223.99326,
759.728,218.49471,
760.301,203.32693,
760.874,215.63457,
761.447,219.1062,
762.020,219.54194,
762.593,189.05232,
763.167,194.45884,
763.740,207.55567,
764.313,210.18491,
764.886,196.13019,
765.459,206.45688,
766.032,217.83557,
766.605,219.47127,
767.178,218.14811,
767.751,210.6634,
768.324,212.69159,
768.897,214.20303,
769.470,205.75317,
770.043,195.36919,
770.617,197.89231,
771.190,211.97195,
771.763,205.3574,
772.336,197.55516,
772.909,191.36594,
773.482,191.50275,
774.055,204.15145,
774.628,208.33084,
775.201,197.11394,
775.774,199.37577,
776.347,210.41357,
776.920,209.24262,
777.493,212.43252,
778.066,213.75483,
778.640,217.65419,
779.213,219.5435,
779.786,209.59824,
780.359,208.58708,
780.932,210.65191,
781.505,209.64936,
782.078,222.06544,
782.651,210.96795,
783.224,207.07678,
783.797,238.05772,
784.370,228.79602,
784.943,209.56923,
785.516,192.80217,
786.090,207.78173,
786.663,216.33646,
787.236,209.66387,
787.809,229.62778,
788.382,220.0815,
788.955,224.66568,
789.528,207.02244,
790.101,196.91357,
790.674,213.64581,
791.247,193.05811,
791.820,243.05146,
792.393,215.12754,
792.966,217.08454,
793.540,205.61566,
794.113,215.29434,
794.686,215.3783,
795.259,201.27774,
795.832,220.5967,
796.405,218.27565,
796.978,218.47322,
797.551,209.91549,
798.124,215.47826,
798.697,224.54692,
799.270,211.90918,
799.843,196.49719,
800.416,221.46744,
800.990,215.67417,
801.563,219.70165,
802.136,225.65971,
802.709,229.34643,
803.282,230.48581,
803.855,236.02539,
804.428,221.36098,
805.001,226.96106,
805.574,239.0783,
806.147,223.07172,
806.720,212.89201,
807.293,231.38418,
807.866,226.14998,
808.440,230.29753,
809.013,233.37575,
809.586,229.28726,
810.159,222.97829,
810.732,216.20615,
811.305,230.44144,
811.878,235.94263,
812.451,232.07682,
813.024,229.73426,
813.597,231.32877,
814.170,236.56885,
814.743,229.67064,
815.316,229.67941,
815.889,240.55914,
816.463,235.29125,
817.036,228.67065,
817.609,230.97727,
818.182,232.17976,
818.755,213.79272,
819.328,226.9433,
819.901,251.30163,
820.474,237.66234,
821.047,230.05688,
821.620,244.49075,
822.193,228.8479,
822.766,242.04903,
823.339,244.14331,
823.913,236.36409,
824.486,227.22911,
825.059,235.45417,
825.632,256.70145,
826.205,208.95437,
826.778,243.78184,
827.351,237.45593,
827.924,235.70605,
828.497,240.30587,
829.070,211.30734,
829.643,237.37876,
830.216,229.8261,
830.789,229.72229,
831.363,223.36281,
831.936,204.95144,
832.509,245.45492,
833.082,233.57835,
833.655,223.04972,
834.228,219.55314,
834.801,223.79096,
835.374,219.91843,
835.947,209.20094,
836.520,215.91516,
837.093,222.02265,
837.666,237.09951,
838.239,237.24501,
838.813,229.96875,
839.386,214.05382,
839.959,217.70583,
840.532,226.36586,
841.105,207.72748,
841.678,196.6957,
842.251,211.99455,
842.824,212.66665,
843.397,204.41965,
843.970,221.52555,
844.543,229.9081,
845.116,225.51663,
845.689,205.15914,
846.262,193.60858,
846.836,212.09789,
847.409,218.77017,
847.982,199.84771,
848.555,196.62708,
849.128,226.51964,
849.701,231.09454,
850.274,207.40178,
850.847,213.09624,
851.420,240.87372,
851.993,229.81285,
852.566,235.97826,
853.139,212.04014,
853.712,225.61128,
854.286,230.37086,
854.859,199.6359,
855.432,229.93457,
856.005,231.56471,
856.578,233.53045,
857.151,214.25837,
857.724,222.15479,
858.297,219.41375,
858.870,235.62695,
859.443,219.08698,
860.016,225.03983,
860.589,218.70976,
861.162,225.81199,
861.736,222.58563,
862.309,231.58113,
862.882,229.95578,
863.455,231.65563,
864.028,230.09574,
864.601,220.36356,
865.174,223.91697,
865.747,231.29803,
866.320,236.50869,
866.893,237.76424,
867.466,229.74195,
868.039,215.58624,
868.612,214.02862,
869.186,232.023,
869.759,217.22843,
870.332,223.07134,
870.905,223.77699,
871.478,214.92302,
872.051,241.89902,
872.624,223.76978,
873.197,212.94309,
873.770,229.96552,
874.343,208.92001,
874.916,227.04785,
875.489,211.04844,
876.062,213.01525,
876.636,240.37408,
877.209,218.33298,
877.782,231.00344,
878.355,229.67136,
878.928,233.59847,
879.501,218.51018,
880.074,229.14187,
880.647,229.43089,
881.220,225.9251,
881.793,215.65736,
882.366,223.70171,
882.939,214.38124,
883.512,234.20239,
884.085,235.65389,
884.659,220.93226,
885.232,225.61134,
885.805,226.74052,
886.378,210.95923,
886.951,223.34999,
887.524,221.42015,
888.097,211.42506,
888.670,219.67055,
889.243,222.95621,
889.816,209.03868,
890.389,227.90431,
890.962,225.9308,
891.535,230.97971,
892.109,208.72751,
892.682,219.46814,
893.255,224.38841,
893.828,219.23656,
894.401,210.03562,
894.974,235.616,
895.547,217.21032,
896.120,218.2193,
896.693,223.02482,
897.266,231.5617,
897.839,212.33094,
898.412,229.24362,
898.985,218.44824,
899.559,231.91783,
900.132,224.15059,
900.705,211.67611,
901.278,202.89854,
901.851,219.91349,
902.424,233.71386,
