Wavelength [nm],Intensity,Intensity (baselined),Intensity (normalised)
268.029,200.59525,-18.04578872500005,-4.1773164412920976e-05
268.602,207.51918,-11.121858725000038,-2.5745354784802013e-05
269.175,215.87366,-2.767378725000043,-6.406046764367519e-06
269.748,205.98835,-12.652688725000047,-2.9288985614838346e-05
270.321,202.82694,-15.814098725000036,-3.66071528459385e-05
270.894,208.20734,-10.433698725000056,-2.415237255163587e-05
271.467,205.18923,-13.451808725000035,-3.1138822807014206e-05
272.04,218.1254,-0.5156387250000307,-1.193622598897803e-06
272.613,213.77586,-4.8651787250000496,-1.1262124026539147e-05
273.186,208.39241,-10.248628725000032,-2.3723964591434606e-05
273.76,214.73726,-3.903778725000052,-9.036634141968752e-06
274.333,215.95347,-2.687568725000034,-6.221299159117275e-06
274.906,213.09936,-5.541678725000054,-1.2828115192455402e-05
275.479,209.12391,-9.517128725000049,-2.203065707056586e-05
276.052,210.03687,-8.60416872500005,-1.991729817206639e-05
276.625,206.51838,-12.122658725000036,-2.8062049476374776e-05
277.198,217.71684,-0.9241987250000534,-2.13937478034167e-06
277.771,213.68487,-4.956168725000055,-1.1472751574487007e-05
