Wavelength [nm]	Wavenumbers [1/cm]	LED340nm_normalisedarea
657.721	15204.02	224.1
658.294	15190.79	219.8
658.867	15177.58	210.5
659.440	15164.39	216.2
660.013	15151.22	227
660.586	15138.07	237.7
661.159	15124.95	217.2
661.732	15111.85	208.9
662.305	15098.78	207.2
662.878	15085.73	222.5
663.451	15072.69	225.4
664.024	15059.69	210.5
664.598	15046.70	218
665.171	15033.74	230.4
665.744	15020.80	226.5
666.317	15007.88	208.9
666.890	14994.98	204.6
667.463	14982.11	219.8
668.036	14969.25	218.7
668.609	14956.42	218.7
669.182	14943.62	210.3
669.755	14930.83	208.4
670.328	14918.06	220.2
670.901	14905.32	229.7
671.474	14892.60	226
672.048	14879.90	228.3
672.621	14867.22	236.4
673.194	14854.57	230.2
673.767	14841.93	219
674.340	14829.32	225.9
674.913	14816.73	234.1
675.486	14804.16	219.9
676.059	14791.61	218.1
676.632	14779.08	218.5
677.205	14766.57	215.4
677.778	14754.09	214.5
678.351	14741.62	224.3
678.924	14729.18	226.9
679.497	14716.76	217.5
680.071	14704.36	210.4
680.644	14691.98	219
681.217	14679.62	228.3
681.790	14667.28	225
682.363	14654.96	216
682.936	14642.66	203.9
683.509	14630.38	212.3
684.082	14618.13	205.4
684.655	14605.89	225.1
685.228	14593.68	216.9
685.801	14581.48	209.3
686.374	14569.31	204.9
686.947	14557.15	217.4
687.521	14545.02	220.1
688.094	14532.91	211.9
688.667	14520.81	221
689.240	14508.74	201.1
689.813	14496.69	210.7
690.386	14484.65	217.3
690.959	14472.64	215.8
691.532	14460.65	218.8
692.105	14448.67	207.4
692.678	14436.72	216.8
693.251	14424.78	229.1
693.824	14412.87	210.1
694.397	14400.97	215.7
694.971	14389.10	211.4
695.544	14377.24	211.7
696.117	14365.41	204.6
696.690	14353.59	197
697.263	14341.79	211.9
697.836	14330.02	219.9
698.409	14318.26	217.2
698.982	14306.52	215.2
699.555	14294.80	227.4
700.128	14283.10	207.1
700.701	14271.42	199.8
701.274	14259.75	206.4
701.847	14248.11	217.6
702.421	14236.49	228.2
702.994	14224.88	222.2
703.567	14213.29	217.8
704.140	14201.73	230.4
704.713	14190.18	239.2
705.286	14178.65	231.6
705.859	14167.14	229.8
706.432	14155.64	223.5
707.005	14144.17	216.8
707.578	14132.71	226.3
708.151	14121.28	231.4
708.724	14109.86	219.8
709.297	14098.46	218.7
709.870	14087.08	224.3
710.444	14075.71	221.7
711.017	14064.37	219.5
711.590	14053.04	221
712.163	14041.73	219.4
712.736	14030.44	220.9
713.309	14019.17	208.3
713.882	14007.92	196
714.455	13996.68	206.5
715.028	13985.46	216.2
715.601	13974.26	207.4
716.174	13963.08	217.9
716.747	13951.92	218.9
717.320	13940.77	217.7
717.894	13929.64	216.4
718.467	13918.53	195.7
719.040	13907.44	206.6
719.613	13896.36	226.6
720.186	13885.30	226.2
