Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0035
519.65	19243.72	0.001396	0.02187
520.227	19222.39	0.001521	0.02272
520.803	19201.11	0.00295	0.02334
521.38	19179.87	0.002177	0.02028
521.957	19158.68	0.001265	0.02013
522.533	19137.53	0.002954	0.01997
523.11	19116.43	0.00225	0.01987
523.687	19095.38	0.001622	0.01783
524.264	19074.37	0.002926	0.01921
524.84	19053.42	0.001712	0.01703
525.417	19032.5	0.00159	0.01739
525.994	19011.63	0.001099	0.01619
526.57	18990.81	0.001627	0.01587
527.147	18970.04	0.002214	0.01648
527.724	18949.3	0.002173	0.01532
528.301	18928.62	0.001237	0.01496
528.877	18907.98	0.001678	0.01321
529.454	18887.38	0.001353	0.01271
530.031	18866.83	0.001123	0.01304
530.607	18846.33	0.001833	0.0133
531.184	18825.86	0.001639	0.0124
531.761	18805.45	0.001948	0.01281
532.338	18785.07	0.0007542	0.01103
532.914	18764.75	0.0002484	0.01096
533.491	18744.46	0.001673	0.01086
534.068	18724.22	0.001401	0.01018
534.644	18704.02	0.001048	0.01058
535.221	18683.87	0.0008149	0.01012
535.798	18663.76	0.0008353	0.009763
536.374	18643.69	0.00117	0.009682
536.951	18623.67	0.001589	0.009252
537.528	18603.69	0.001525	0.009108
538.105	18583.75	0.001341	0.008738
538.681	18563.85	0.000786	0.008176
539.258	18544	0.0006172	0.007887
539.835	18524.19	0.001024	0.007494
540.411	18504.42	0.001333	0.007117
540.988	18484.69	0.0008372	0.006361
541.565	18465.01	0.000101	0.006161
542.142	18445.37	0.0001129	0.006533
542.718	18425.77	0.0002853	0.0062
543.295	18406.21	0.0003462	0.006006
543.872	18386.69	-0.0002301	0.005681
544.448	18367.21	-0.0001852	0.005748
545.025	18347.78	0.0005156	0.00602
545.602	18328.38	0.0003667	0.005746
546.179	18309.03	0.0001691	0.005228
546.755	18289.72	0.0002793	0.004704
547.332	18270.45	0.0005907	0.004684
547.909	18251.22	0.000669	0.004559
548.485	18232.03	0.0005167	0.005117
549.062	18212.88	0.0003396	0.004679
549.639	18193.77	0.0006233	0.004261
550.215	18174.7	0.0007331	0.00463
550.792	18155.67	0.0009118	0.004637
551.369	18136.68	0.00063	0.004376
551.946	18117.73	0.0009419	0.00431
552.522	18098.82	0.001077	0.004353
553.099	18079.94	0.0005662	0.003819
553.676	18061.11	0.0008762	0.00364
554.252	18042.32	-0.000179	0.003395
554.829	18023.57	-0.0002939	0.002606
555.406	18004.85	0.0004584	0.003042
555.983	17986.17	-0.0001698	0.002751
556.559	17967.54	0.001056	0.003668
557.136	17948.94	0.0008253	0.003656
557.713	17930.38	0.0002272	0.002237
558.289	17911.86	-0.0001732	0.002225
558.866	17893.37	-0.0005285	0.001598
559.443	17874.93	-0.0002113	0.00238
560.02	17856.52	-6.69E-05	0.001774
560.596	17838.15	-0.0007146	0.001545
561.173	17819.82	-3.14E-05	0.001988
561.75	17801.52	0.00023	0.001965
562.326	17783.27	0.0002116	0.002118
562.903	17765.05	0.0001747	0.002331
563.48	17746.86	6.58E-05	0.001863
564.057	17728.72	0.0004216	0.001834
564.633	17710.61	0.0005719	0.001861
565.21	17692.54	0.0002836	0.001702
565.787	17674.51	0.0002455	0.00147
566.363	17656.51	-0.0003372	0.001076
566.94	17638.55	-0.0004188	0.0006164
567.517	17620.62	0.0001039	0.001223
568.093	17602.74	-2.69E-05	0.001104
568.67	17584.89	0.0003735	0.001535
569.247	17567.07	0.0002264	0.001303
569.824	17549.29	-0.0001	0.001304
570.4	17531.55	5.07E-05	0.001134
570.977	17513.84	-0.0001407	0.001003
571.554	17496.17	-0.0002217	0.001179
572.13	17478.53	-0.000387	0.0008392
572.707	17460.93	-0.0001838	0.001088
573.284	17443.37	8.34E-05	0.001117
573.861	17425.84	0.0004551	0.001262
574.437	17408.34	0.0003376	0.001233
575.014	17390.88	-0.0003915	0.0002222
575.591	17373.46	-0.0007796	0.0001412
576.167	17356.07	-0.0002449	0.0004413
576.744	17338.71	0.0001365	0.0005118
577.321	17321.39	-0.0001614	0.000653
577.898	17304.11	-1.98E-05	0.0007431
578.474	17286.85	0.0002347	0.0009042
579.051	17269.64	1.86E-05	0.0005906
579.628	17252.45	-0.0005588	0.0002201
580.204	17235.31	-0.0005227	0.0005352
580.781	17218.19	4.12E-05	0.000511
581.358	17201.11	0.0001494	0.0003121
581.934	17184.06	-0.0001832	0.0002807
582.511	17167.05	-6.27E-05	0.0005058
583.088	17150.07	6.98E-05	0.0006857
583.665	17133.13	8.97E-05	0.0006424
584.241	17116.21	4.58E-05	0.000747
584.818	17099.34	-0.0001125	0.0006726
585.395	17082.49	-0.000316	0.0003833
585.971	17065.68	-0.0003454	0.000386
586.548	17048.9	-0.0001771	0.0003957
587.125	17032.15	5.06E-05	0.0002302
587.702	17015.44	-2.78E-05	0.0002346
588.278	16998.76	-0.0003135	0.0003364
588.855	16982.11	-8.31E-05	0.0001338
589.432	16965.49	-8.89E-05	-0.0002005
590.008	16948.91	-8.64E-05	6.30E-07
