Wavelength [nm]	Wavenumbers [1/cm]	Intensity
631.932	15824.48	282.4
632.505	15810.15	272
633.078	15795.84	267.9
633.651	15781.55	272.9
634.224	15767.29	279.4
634.797	15753.06	281.3
635.371	15738.85	287.9
635.944	15724.66	289.3
636.517	15710.51	277.4
637.090	15696.37	274.4
637.663	15682.27	283.9
638.236	15668.19	299.5
638.809	15654.13	304.3
639.382	15640.10	292.4
639.955	15626.09	293.4
640.528	15612.11	300.6
641.101	15598.16	291.6
641.674	15584.23	279.3
642.247	15570.32	273.5
642.821	15556.44	273.3
643.394	15542.58	278.2
643.967	15528.75	292.8
644.540	15514.95	285.6
645.113	15501.16	274.3
645.686	15487.41	284.5
646.259	15473.67	278.9
646.832	15459.96	278.7
647.405	15446.28	279.7
647.978	15432.62	271.6
648.551	15418.98	277.3
649.124	15405.37	279.3
649.697	15391.78	275.8
650.271	15378.21	277.3
650.844	15364.67	277.2
651.417	15351.16	265
651.990	15337.66	262.5
652.563	15324.19	277.3
653.136	15310.75	280.1
653.709	15297.33	287.7
654.282	15283.93	285.6
654.855	15270.55	268.4
655.428	15257.20	275.6
656.001	15243.87	302.1
656.574	15230.57	291.9
657.147	15217.28	266.2
657.721	15204.03	273.6
658.294	15190.79	270.8
658.867	15177.58	265.4
659.440	15164.39	268.2
660.013	15151.22	278.1
660.586	15138.08	291.1
661.159	15124.96	270.7
661.732	15111.86	264.7
662.305	15098.78	262.8
662.878	15085.73	275.2
663.451	15072.70	278
664.024	15059.69	264.9
664.597	15046.70	274.1
665.171	15033.74	285.9
665.744	15020.80	278.5
666.317	15007.88	265.2
666.890	14994.98	262.7
667.463	14982.11	273.8
668.036	14969.26	270.8
668.609	14956.42	272.7
669.182	14943.62	262.2
669.755	14930.83	261.8
670.328	14918.07	273.9
670.901	14905.32	278.7
671.474	14892.60	279.4
672.047	14879.90	278.2
672.621	14867.22	283.5
673.194	14854.57	278.4
673.767	14841.93	268.9
674.340	14829.32	281.3
674.913	14816.73	289.1
675.486	14804.16	269.2
676.059	14791.61	268.3
676.632	14779.08	268.2
677.205	14766.57	268
677.778	14754.09	267
678.351	14741.62	277.7
678.924	14729.18	281.8
679.497	14716.76	270.9
680.071	14704.36	263.3
680.644	14691.98	270.5
681.217	14679.62	279.7
681.790	14667.28	277.1
682.363	14654.96	271.8
682.936	14642.66	261.5
683.509	14630.39	264.2
684.082	14618.13	259.8
684.655	14605.89	281.1
685.228	14593.68	268.7
685.801	14581.48	264.2
686.374	14569.31	259.8
