Wavelength [nm]	Wavenumbers [1/cm]	trans_azobenzene_epsilons
324.200	30845.16	2.156E4
324.300	30835.65	2.152E4
324.400	30826.14	2.15E4
324.500	30816.64	2.148E4
324.600	30807.15	2.145E4
324.700	30797.66	2.144E4
324.800	30788.18	2.142E4
324.900	30778.70	2.141E4
325.000	30769.23	2.138E4
325.100	30759.77	2.135E4
325.200	30750.31	2.134E4
325.300	30740.85	2.132E4
325.400	30731.41	2.13E4
325.500	30721.97	2.128E4
325.600	30712.53	2.126E4
325.700	30703.10	2.123E4
325.800	30693.68	2.122E4
325.900	30684.26	2.121E4
326.000	30674.85	2.119E4
326.100	30665.44	2.116E4
326.200	30656.04	2.115E4
326.300	30646.64	2.113E4
326.400	30637.25	2.111E4
326.500	30627.87	2.11E4
326.600	30618.49	2.107E4
326.700	30609.12	2.105E4
326.800	30599.76	2.103E4
326.900	30590.39	2.102E4
327.000	30581.04	2.1E4
327.100	30571.69	2.098E4
327.200	30562.35	2.096E4
327.300	30553.01	2.093E4
327.400	30543.68	2.092E4
327.500	30534.35	2.089E4
327.600	30525.03	2.087E4
327.700	30515.72	2.085E4
327.800	30506.41	2.083E4
327.900	30497.10	2.081E4
328.000	30487.80	2.079E4
328.100	30478.51	2.075E4
328.200	30469.23	2.073E4
328.300	30459.95	2.071E4
328.400	30450.67	2.068E4
328.500	30441.40	2.066E4
328.600	30432.14	2.062E4
328.700	30422.88	2.061E4
328.800	30413.63	2.057E4
328.900	30404.38	2.054E4
329.000	30395.14	2.052E4
329.100	30385.90	2.049E4
329.200	30376.67	2.045E4
329.300	30367.45	2.042E4
329.400	30358.23	2.038E4
329.500	30349.01	2.034E4
329.600	30339.81	2.031E4
329.700	30330.60	2.028E4
329.800	30321.41	2.023E4
329.900	30312.22	2.02E4
330.000	30303.03	2.016E4
330.100	30293.85	2.011E4
330.200	30284.68	2.008E4
330.300	30275.51	2.004E4
330.400	30266.34	1.999E4
330.500	30257.19	1.994E4
330.600	30248.03	1.989E4
330.700	30238.89	1.985E4
330.800	30229.75	1.98E4
330.900	30220.61	1.974E4
331.000	30211.48	1.969E4
331.100	30202.36	1.964E4
331.200	30193.24	1.958E4
331.300	30184.12	1.953E4
331.400	30175.02	1.947E4
331.500	30165.91	1.942E4
331.600	30156.82	1.936E4
331.700	30147.72	1.93E4
331.800	30138.64	1.923E4
331.900	30129.56	1.917E4
332.000	30120.48	1.91E4
332.100	30111.41	1.904E4
332.200	30102.35	1.896E4
332.300	30093.29	1.89E4
332.400	30084.24	1.883E4
332.500	30075.19	1.876E4
332.600	30066.15	1.869E4
332.700	30057.11	1.862E4
332.800	30048.08	1.854E4
332.900	30039.05	1.847E4
333.000	30030.03	1.839E4
333.100	30021.01	1.832E4
333.200	30012.00	1.823E4
333.300	30003.00	1.816E4
333.400	29994.00	1.807E4
333.500	29985.01	1.799E4
333.600	29976.02	1.791E4
333.700	29967.04	1.783E4
333.800	29958.06	1.773E4
333.900	29949.09	1.766E4
334.000	29940.12	1.758E4
334.100	29931.16	1.749E4
334.200	29922.20	1.741E4
334.300	29913.25	1.732E4
334.400	29904.31	1.723E4
334.500	29895.37	1.714E4
334.600	29886.43	1.706E4
334.700	29877.50	1.696E4
334.800	29868.58	1.687E4
334.900	29859.66	1.678E4
335.000	29850.75	1.669E4
335.100	29841.84	1.66E4
335.200	29832.94	1.651E4
335.300	29824.04	1.642E4
335.400	29815.15	1.633E4
335.500	29806.26	1.624E4
335.600	29797.38	1.615E4
335.700	29788.50	1.606E4
335.800	29779.63	1.597E4
335.900	29770.77	1.588E4
336.000	29761.90	1.578E4
336.100	29753.05	1.569E4
336.200	29744.20	1.56E4
336.300	29735.36	1.551E4
336.400	29726.52	1.542E4
336.500	29717.68	1.533E4
336.600	29708.85	1.524E4
336.700	29700.03	1.515E4
336.800	29691.21	1.507E4
336.900	29682.40	1.498E4
337.000	29673.59	1.489E4
337.100	29664.79	1.48E4
337.200	29655.99	1.472E4
337.300	29647.20	1.463E4
337.400	29638.41	1.455E4
337.500	29629.63	1.446E4
337.600	29620.85	1.438E4
337.700	29612.08	1.429E4
