Wavelength [nm]	Wavenumbers [1/cm]	Intensity
601.559	16623.47	241
602.132	16607.65	245.6
602.705	16591.86	265
603.278	16576.10	236.2
603.851	16560.37	222.5
604.424	16544.66	261.9
604.998	16528.99	232.9
605.571	16513.35	252.5
606.144	16497.74	237.6
606.717	16482.16	235.2
607.290	16466.60	250.4
607.863	16451.08	246.2
608.436	16435.58	239.5
609.009	16420.12	226.6
609.582	16404.68	223.9
610.155	16389.27	231.6
610.728	16373.89	238.9
611.301	16358.54	213.9
611.874	16343.22	237
612.448	16327.93	240.8
613.021	16312.67	266.6
613.594	16297.43	249
614.167	16282.22	233.3
614.740	16267.04	235.7
615.313	16251.89	250.2
615.886	16236.77	246.6
616.459	16221.68	237.3
617.032	16206.61	242.8
617.605	16191.57	261.4
618.178	16176.56	249.8
618.751	16161.58	247.3
619.324	16146.63	256.2
619.898	16131.70	262.4
620.471	16116.80	251.7
621.044	16101.93	246.2
621.617	16087.08	257.3
622.190	16072.27	247
622.763	16057.48	235.9
623.336	16042.71	233.6
623.909	16027.98	212.3
624.482	16013.27	222.1
625.055	15998.59	251.3
625.628	15983.93	252.9
626.201	15969.30	246.8
626.774	15954.70	267.8
627.348	15940.13	262.1
627.921	15925.58	265.2
628.494	15911.06	254.9
629.067	15896.56	249.4
629.640	15882.10	257.6
630.213	15867.65	270.3
630.786	15853.24	264
631.359	15838.85	258.9
631.932	15824.48	257.9
632.505	15810.15	247.8
633.078	15795.84	243.5
633.651	15781.55	249.1
634.224	15767.29	254.7
634.797	15753.06	255.7
635.371	15738.85	263.5
635.944	15724.66	265.6
636.517	15710.51	252.9
637.090	15696.37	249.5
637.663	15682.27	258.2
638.236	15668.19	273.6
638.809	15654.13	279.2
639.382	15640.10	268.1
639.955	15626.09	268.9
640.528	15612.11	276.5
641.101	15598.16	267.6
641.674	15584.23	254.5
642.247	15570.32	248.5
642.821	15556.44	248.9
643.394	15542.58	253.7
643.967	15528.75	267.6
644.540	15514.95	261.2
645.113	15501.16	250.5
645.686	15487.41	259.7
646.259	15473.67	253.1
646.832	15459.96	253.1
647.405	15446.28	254.7
647.978	15432.62	246.7
648.551	15418.98	251.3
649.124	15405.37	254.5
649.697	15391.78	251.7
650.271	15378.21	251.9
650.844	15364.67	251.9
651.417	15351.16	239.9
651.990	15337.66	236.5
652.563	15324.19	251.4
653.136	15310.75	254.7
653.709	15297.33	262.5
654.282	15283.93	260.6
654.855	15270.55	242.7
655.428	15257.20	249.7
656.001	15243.87	277.4
656.574	15230.57	268
657.147	15217.28	240.8
657.721	15204.03	247.3
658.294	15190.79	246.3
658.867	15177.58	240.4
659.440	15164.39	241.6
660.013	15151.22	251.8
660.586	15138.08	263.9
661.159	15124.96	244.5
661.732	15111.86	237.9
662.305	15098.78	236.1
662.878	15085.73	250.7
663.451	15072.70	252.5
664.024	15059.69	239.5
664.597	15046.70	249.8
665.171	15033.74	262
665.744	15020.80	254.7
666.317	15007.88	240.7
666.890	14994.98	239.1
667.463	14982.11	249.4
668.036	14969.26	245.9
668.609	14956.42	247.3
669.182	14943.62	237.1
669.755	14930.83	235.5
670.328	14918.07	246.9
670.901	14905.32	253
671.474	14892.60	254.2
672.047	14879.90	253.7
672.621	14867.22	258.4
673.194	14854.57	253.1
673.767	14841.93	244.5
674.340	14829.32	255.7
674.913	14816.73	263.2
675.486	14804.16	244.9
676.059	14791.61	243.8
676.632	14779.08	243.7
677.205	14766.57	242.5
677.778	14754.09	239.5
678.351	14741.62	250.9
678.924	14729.18	256.6
679.497	14716.76	244.6
680.071	14704.36	236.2
680.644	14691.98	245.1
681.217	14679.62	254.4
681.790	14667.28	251.2
682.363	14654.96	246.4
682.936	14642.66	235.7
683.509	14630.39	238.7
684.082	14618.13	234.4
684.655	14605.89	256.1
685.228	14593.68	242.3
685.801	14581.48	239.8
686.374	14569.31	235.7
686.947	14557.16	243.5
687.520	14545.02	245.8
688.094	14532.91	236.4
688.667	14520.81	245.7
689.240	14508.74	229.3
689.813	14496.69	238.5
690.386	14484.65	244.8
690.959	14472.64	241.7
691.532	14460.65	241.6
692.105	14448.67	234.7
692.678	14436.72	245.3
693.251	14424.78	260.7
693.824	14412.87	242.3
694.397	14400.98	241.5
694.970	14389.10	236.7
695.544	14377.24	236
696.117	14365.41	229.8
696.690	14353.59	222.7
697.263	14341.80	238.1
697.836	14330.02	248.2
698.409	14318.26	236.7
698.982	14306.52	238.7
699.555	14294.80	256.2
700.128	14283.10	238.1
700.701	14271.42	230
701.274	14259.76	234.7
701.847	14248.11	247.6
702.420	14236.49	256.7
702.994	14224.88	248.4
703.567	14213.30	242.6
704.140	14201.73	256.6
704.713	14190.18	266.5
705.286	14178.65	258.8
705.859	14167.14	257.8
706.432	14155.64	245.5
707.005	14144.17	239.5
707.578	14132.71	254.1
708.151	14121.28	250.8
708.724	14109.86	243.4
709.297	14098.46	245.6
709.870	14087.08	248.4
710.444	14075.71	248
711.017	14064.37	246.4
711.590	14053.04	252.4
712.163	14041.73	244.1
712.736	14030.44	244.6
713.309	14019.17	236
713.882	14007.92	222.2
714.455	13996.68	234.7
715.028	13985.46	240.6
715.601	13974.26	226.6
716.174	13963.08	242.3
716.747	13951.92	245
717.320	13940.77	242.3
717.894	13929.64	241.3
718.467	13918.53	221.3
719.040	13907.44	234.7
719.613	13896.36	257.9
720.186	13885.31	251.9
720.759	13874.27	260.9
721.332	13863.24	238.8
721.905	13852.24	240.3
722.478	13841.25	247.6
723.051	13830.28	241.4
723.624	13819.33	231.5
724.197	13808.39	235.9
724.770	13797.47	232.9
725.344	13786.57	220.6
725.917	13775.69	222.2
726.490	13764.82	235.3
727.063	13753.97	243.8
727.636	13743.14	231.3
728.209	13732.32	231.4
728.782	13721.53	242.3
729.355	13710.74	244.7
729.928	13699.98	234.4
730.501	13689.23	237.2
731.074	13678.50	229.1
731.647	13667.79	241.9
732.220	13657.09	225.5
732.793	13646.41	232.7
733.367	13635.75	231.3
733.940	13625.10	239.9
734.513	13614.47	251.5
735.086	13603.85	254.2
735.659	13593.26	238.3
736.232	13582.68	240.4
736.805	13572.11	241.3
737.378	13561.56	238.3
737.951	13551.03	233.2
738.524	13540.52	254.2
739.097	13530.02	256.9
