Wavelength [nm]	Wavenumbers [1/cm]	LED395nm_Intensity_baselined
568.321	17595.69	-9.042
568.894	17577.97	-3.345
569.467	17560.28	-6.444
570.040	17542.63	0.4576
570.613	17525.01	5.056
571.186	17507.42	5.853
571.759	17489.88	1.752
572.332	17472.36	-1.927
572.905	17454.89	10.64
573.479	17437.44	-0.03705
574.052	17420.04	-1.737
574.625	17402.66	3.85
575.198	17385.32	-4.837
575.771	17368.02	0.8531
576.344	17350.75	-3.343
576.917	17333.52	4.756
577.490	17316.31	22.96
578.063	17299.15	24.55
578.636	17282.01	12.55
579.209	17264.92	0.6707
579.782	17247.85	14.62
580.355	17230.82	-9.132
580.929	17213.82	-1.651
581.502	17196.86	-3.141
582.075	17179.93	-1.032
582.648	17163.03	10.45
583.221	17146.16	1.162
583.794	17129.33	-4.142
584.367	17112.53	-5.144
584.940	17095.77	7.659
585.513	17079.04	20.74
586.086	17062.34	-5.167
586.659	17045.67	-37.5
587.232	17029.03	5.06
587.805	17012.43	8.551
588.379	16995.86	4.868
588.952	16979.32	11.83
589.525	16962.82	-17.6
590.098	16946.34	1.239
590.671	16929.90	5.654
591.244	16913.49	5.856
591.817	16897.12	-23.64
592.390	16880.77	31.96
592.963	16864.45	10.45
593.536	16848.17	-8.831
594.109	16831.92	11.04
594.682	16815.70	-2.695
595.255	16799.51	38.26
595.829	16783.35	-33.58
596.402	16767.23	5.121
596.975	16751.13	-2.236
597.548	16735.06	1.652
598.121	16719.03	-1.941
598.694	16703.03	-10.94
599.267	16687.05	-12.14
599.840	16671.11	-9.943
600.413	16655.20	10.46
600.986	16639.32	8.047
601.559	16623.47	-7.54
602.132	16607.64	-3.523
602.705	16591.85	15.32
603.278	16576.09	-12.56
603.852	16560.36	-25.9
604.425	16544.66	10.81
604.998	16528.99	-14.92
605.571	16513.35	4.741
606.144	16497.73	-10.54
606.717	16482.15	-13.64
607.290	16466.60	2.856
607.863	16451.07	-2.246
608.436	16435.58	-9.951
609.009	16420.11	-23.05
609.582	16404.68	-26.73
610.155	16389.27	-16.63
610.728	16373.89	-8.381
611.302	16358.54	-31.4
611.875	16343.22	-10.15
612.448	16327.92	-8.346
613.021	16312.66	19.83
613.594	16297.43	1.866
614.167	16282.22	-14.84
614.740	16267.04	-13.14
615.313	16251.89	-0.6442
615.886	16236.77	-2.347
616.459	16221.67	-8.74
617.032	16206.61	-4.627
617.605	16191.57	12.34
618.178	16176.56	-0.4457
618.752	16161.58	-1.634
619.325	16146.62	8.454
619.898	16131.69	13.65
620.471	16116.79	3.065
621.044	16101.92	-1.141
621.617	16087.08	7.853
622.190	16072.26	-1.943
622.763	16057.47	-11.74
623.336	16042.71	-15.66
623.909	16027.97	-36.64
624.482	16013.26	-26.51
625.055	15998.58	3.66
625.628	15983.93	6.747
626.202	15969.30	0.49
626.775	15954.70	19.64
627.348	15940.12	10.37
627.921	15925.58	14.85
628.494	15911.06	6.562
629.067	15896.56	0.8586
629.640	15882.09	9.255
630.213	15867.65	21.96
630.786	15853.23	15.66
631.359	15838.84	10.26
631.932	15824.48	9.247
632.505	15810.14	-1.149
633.078	15795.83	-5.236
633.652	15781.55	-0.2327
634.225	15767.29	6.253
634.798	15753.05	8.162
635.371	15738.84	14.75
635.944	15724.66	16.16
636.517	15710.50	4.261
637.090	15696.37	1.257
637.663	15682.26	10.76
638.236	15668.18	26.36
638.809	15654.13	31.15
639.382	15640.10	19.26
639.955	15626.09	20.26
640.528	15612.11	27.44
641.101	15598.15	18.44
641.675	15584.22	6.16
642.248	15570.32	0.3596
642.821	15556.44	0.1564
643.394	15542.58	5.052
643.967	15528.75	19.65
644.540	15514.94	12.46
645.113	15501.16	1.157
645.686	15487.40	11.36
646.259	15473.67	5.756
646.832	15459.96	5.557
647.405	15446.27	6.547
647.978	15432.61	-1.536
648.551	15418.98	4.16
649.125	15405.36	6.151
649.698	15391.78	2.66
650.271	15378.21	4.154
650.844	15364.67	4.056
651.417	15351.15	-8.137
651.990	15337.66	-10.64
652.563	15324.19	4.155
653.136	15310.74	6.958
653.709	15297.32	14.56
654.282	15283.92	12.44
654.855	15270.55	-4.736
655.428	15257.20	2.49
656.001	15243.87	28.94
656.575	15230.56	18.71
657.148	15217.28	-6.919
657.721	15204.02	0.4477
658.294	15190.79	-2.341
658.867	15177.57	-7.74
659.440	15164.38	-4.944
660.013	15151.22	4.955
660.586	15138.07	17.96
661.159	15124.95	-2.446
661.732	15111.85	-8.445
662.305	15098.78	-10.33
662.878	15085.72	2.06
663.451	15072.69	4.837
664.025	15059.68	-8.228
664.598	15046.70	0.9612
665.171	15033.74	12.74
665.744	15020.79	5.363
666.317	15007.88	-7.935
666.890	14994.98	-10.44
667.463	14982.10	0.6545
668.036	14969.25	-2.344
668.609	14956.42	-0.4477
669.182	14943.61	-10.94
669.755	14930.83	-11.33
670.328	14918.06	0.7619
670.901	14905.32	5.558
671.475	14892.60	6.254
672.048	14879.90	5.062
672.621	14867.22	10.35
673.194	14854.56	5.261
673.767	14841.93	-4.237
674.340	14829.32	8.151
674.913	14816.73	15.96
675.486	14804.16	-3.944
676.059	14791.61	-4.844
676.632	14779.08	-4.944
677.205	14766.57	-5.144
677.778	14754.09	-6.132
678.351	14741.62	4.562
678.924	14729.18	8.639
679.498	14716.76	-2.243
680.071	14704.35	-9.833
680.644	14691.97	-2.652
681.217	14679.61	6.549
681.790	14667.28	3.958
682.363	14654.96	-1.342
682.936	14642.66	-11.64
683.509	14630.38	-8.945
684.082	14618.13	-13.33
684.655	14605.89	7.947
685.228	14593.68	-4.449
685.801	14581.48	-8.95
686.374	14569.31	-13.33
686.948	14557.15	-4.849
687.521	14545.02	-2.355
688.094	14532.90	-11.14
688.667	14520.81	-1.952
689.240	14508.74	-16.74
689.813	14496.68	-7.847
690.386	14484.65	-3.144
690.959	14472.64	-5.344
691.532	14460.64	-3.647
692.105	14448.67	-11.44
692.678	14436.72	-1.829
693.251	14424.78	12.34
693.824	14412.87	-5.844
694.398	14400.97	-5.653
694.971	14389.10	-10.74
695.544	14377.24	-10.34
696.117	14365.41	-16.84
696.690	14353.59	-24.14
697.263	14341.79	-8.449
697.836	14330.01	1.355
698.409	14318.26	-9.144
698.982	14306.52	-8.137
699.555	14294.80	7.344
700.128	14283.10	-10.85
700.701	14271.41	-18.44
701.274	14259.75	-12.82
701.848	14248.11	1.27
702.421	14236.48	9.442
702.994	14224.88	0.4673
703.567	14213.29	-5.338
704.140	14201.72	8.747
704.713	14190.18	17.15
705.286	14178.65	9.657
705.859	14167.13	9.755
706.432	14155.64	-2.646
707.005	14144.17	-9.335
707.578	14132.71	5.855
708.151	14121.28	4.247
708.724	14109.86	-3.642
709.298	14098.46	-1.838
709.871	14087.07	1.753
710.444	14075.71	1.456
711.017	14064.37	-0.5418
711.590	14053.04	5.352
712.163	14041.73	-3.239
712.736	14030.44	-1.944
713.309	14019.17	-9.845
713.882	14007.92	-23.94
714.455	13996.68	-11.84
715.028	13985.46	-5.555
715.601	13974.26	-19.63
716.174	13963.08	-4.042
716.747	13951.91	-2.247
717.321	13940.77	-4.342
717.894	13929.64	-4.544
718.467	13918.53	-25.72
719.040	13907.44	-13.75
719.613	13896.36	10.14
720.186	13885.30	5.657
720.759	13874.26	14.66
721.332	13863.24	-8.144
721.905	13852.23	-6.54
722.478	13841.25	0.9524
723.051	13830.28	-4.053
723.624	13819.32	-13.54
724.197	13808.39	-11.15
724.771	13797.47	-15.05
725.344	13786.57	-27.22
725.917	13775.69	-25.24
726.490	13764.82	-12.75
727.063	13753.97	-4.848
727.636	13743.14	-16.94
728.209	13732.32	-15.94
728.782	13721.52	-2.944
729.355	13710.74	-1.749
729.928	13699.98	-11.74
730.501	13689.23	-9.853
731.074	13678.50	-18.93
731.647	13667.78	-5.268
732.221	13657.09	-21.13
732.794	13646.41	-14.05
733.367	13635.74	-16.54
733.940	13625.10	-7.052
734.513	13614.47	4.249
735.086	13603.85	5.956
735.659	13593.25	-9.042
736.232	13582.67	-5.444
736.805	13572.11	-6.145
737.378	13561.56	-9.946
737.951	13551.03	-13.12
738.524	13540.51	7.758
739.097	13530.02	9.837
739.671	13519.53	-3.085
740.244	13509.07	-26.92
740.817	13498.62	-21.45
741.390	13488.18	-13.85
741.963	13477.76	-24.54
742.536	13467.36	-16.45
743.109	13456.98	14.25
743.682	13446.61	-3.242
744.255	13436.25	18.35
744.828	13425.91	4.55
745.401	13415.59	-5.539
745.974	13405.29	0.05258
746.547	13395.00	-3.146
747.121	13384.72	-5.101
747.694	13374.46	20.5
748.267	13364.22	-13.9
